Date,Ticker,Currency,Open,High,Low,Close,Adj Close,Volume,Change,%Change,MarketCap
2024-07-11,AVAX-USD,USD,25.77,26.31,25.08,25.23,25.23,302646280,-0.54,-2.10,8681321472
2024-07-11,BNB-USD,USD,524.58,540.08,521.04,525.14,525.14,1685684515,0.56,0.11,156638248960
2024-07-11,BTC-USD,USD,57729.89,59299.43,57120.38,57344.91,57344.91,-1356967230,-384.98,-0.67,2272121585664
2024-07-11,DOGE-USD,USD,0.11,0.11,0.11,0.11,0.11,546104180,0.00,0.00,30334775296
2024-07-11,DOT-USD,USD,6.10,6.24,5.90,5.90,5.90,141984692,-0.20,-3.28,5121885696
2024-07-11,ETH-USD,USD,3101.34,3208.94,3057.22,3100.33,3100.33,-1949773418,-1.01,-0.03,496596582400
2024-07-11,ICP-USD,USD,7.21,7.69,7.15,7.36,7.36,63000437,0.15,2.08,1706506624
2024-07-11,LINK-USD,USD,12.80,13.11,12.31,12.35,12.35,315921152,-0.45,-3.52,12714944512
2024-07-11,LTC-USD,USD,66.94,69.08,66.58,67.44,67.44,255074186,0.50,0.75,7622200832
2024-07-11,MATIC-USD,USD,0.51,0.52,0.50,0.50,0.50,197820791,-0.01,-1.96,0
2024-07-11,NEAR-USD,USD,4.63,5.05,4.56,4.93,4.93,306977126,0.30,6.48,2972301568
2024-07-11,SOL-USD,USD,141.98,145.32,135.85,135.88,135.88,-2008076324,-6.10,-4.30,110541570048
2024-07-11,TRX-USD,USD,0.13,0.14,0.13,0.13,0.13,374769340,0.00,0.00,28247525376
2024-07-11,UNI-USD,USD,0.00,0.00,0.00,0.00,0.00,11,0.00,,17388
2024-07-11,XRP-USD,USD,0.44,0.45,0.44,0.45,0.45,1102016670,0.01,2.27,157739499520
2024-07-12,ADA-USD,USD,0.40,0.42,0.39,0.42,0.42,354134954,0.02,5.00,23967385600
2024-07-12,ATOM-USD,USD,5.94,6.15,5.87,6.15,6.15,98869878,0.21,3.54,1506169472
2024-07-12,AVAX-USD,USD,25.22,26.07,24.88,25.97,25.97,245057056,0.75,2.97,8681321472
2024-07-12,BNB-USD,USD,525.12,537.32,517.99,533.76,533.76,1600204226,8.64,1.65,156638248960
2024-07-12,BTC-USD,USD,57341.20,58532.55,56590.18,57899.46,57899.46,-164998555,558.26,0.97,2272121585664
2024-07-12,DOGE-USD,USD,0.11,0.11,0.11,0.11,0.11,468503073,0.00,0.00,30334775296
2024-07-12,DOT-USD,USD,5.90,6.10,5.81,6.10,6.10,142923900,0.20,3.39,5121885696
2024-07-12,ETH-USD,USD,3099.99,3154.60,3048.51,3134.16,3134.16,-133263557,34.17,1.10,496596582400
2024-07-12,ICP-USD,USD,7.36,7.48,7.04,7.32,7.32,52584973,-0.04,-0.54,1706506624
2024-07-12,LINK-USD,USD,12.35,12.81,12.25,12.74,12.74,292274926,0.39,3.16,12714944512
2024-07-12,LTC-USD,USD,67.43,69.34,66.88,69.28,69.28,308924534,1.85,2.74,7622200832
2024-07-12,MATIC-USD,USD,0.50,0.51,0.49,0.51,0.51,164844277,0.01,2.00,0
2024-07-12,NEAR-USD,USD,4.93,5.18,4.75,5.18,5.18,273725087,0.25,5.07,2972301568
2024-07-12,SOL-USD,USD,135.86,140.42,134.16,139.53,139.53,1990173458,3.67,2.70,110541570048
2024-07-12,TRX-USD,USD,0.13,0.14,0.13,0.14,0.14,328033234,0.01,7.69,28247525376
2024-07-12,UNI-USD,USD,0.00,0.00,0.00,0.00,0.00,11,0.00,,17388
2024-07-12,XRP-USD,USD,0.45,0.48,0.45,0.47,0.47,1596389224,0.02,4.44,157739499520
2024-07-13,ADA-USD,USD,0.42,0.45,0.41,0.44,0.44,365695869,0.02,4.76,23967385600
2024-07-13,ATOM-USD,USD,6.15,6.26,6.13,6.21,6.21,72862663,0.06,0.98,1506169472
2024-07-13,AVAX-USD,USD,25.97,26.30,25.57,25.87,25.87,263193767,-0.10,-0.39,8681321472
2024-07-13,BNB-USD,USD,533.76,539.20,527.76,532.35,532.35,1436156860,-1.41,-0.26,156638248960
